client_account_id,client_account_name,is_cemo_base,cemo_base_segment,client_workstream,is_claims_present,n_outreach_members,n_addressable_paid,n_addressable_recommended,n_eligible_distinct_members,n_avg_members_eligible,n_eop_members_eligible,pct_outreach_on_distinct_ever,pct_outreach_on_avg_monthly_br,pct_outreach_on_eop_dec,pct_addressable_paid_on_distinct_ever,pct_addressable_paid_on_avg_monthly_br,pct_addressable_paid_on_eop_dec,pct_addressable_recommended_on_distinct_ever,pct_addressable_recommended_on_avg_monthly_br,pct_addressable_recommended_on_eop_dec,book_benchmark_pct_portfolio,book_benchmark_pct_median_client
SALESCLOUD_ACCOUNT_ID:0014000000wCl0TAAS,Philips Electronics North America,True,CEMO_BASE,WITHOUT_CLAIMS,False,0,0,,0,0.0,0.0,,,,,,,,,,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000001do6g8AAA,Prime Therapeutics,True,CEMO_BASE,WITHOUT_CLAIMS,False,0,0,,0,0.0,0.0,,,,,,,,,,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000001kNlHOAA0,"Saltchuk Resources, Inc.",True,CEMO_BASE,WITHOUT_CLAIMS,False,0,0,,0,0.0,0.0,,,,,,,,,,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000001kNlUfAAK,"The Ensign Services, Inc.",True,CEMO_BASE,WITHOUT_CLAIMS,False,0,0,,0,0.0,0.0,,,,,,,,,,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000000wEfYxAAK,Visa U.S.A. Inc.,False,NAV_PLUS_CEMO,WITHOUT_CLAIMS,False,72,0,,35664,31037.0,31340.0,0.002,0.0023,0.0023,0.0,0.0,0.0,,,,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000001bkIOZAA2,Wahl Clipper Corp,True,CEMO_BASE,WITHOUT_CLAIMS,False,0,0,,0,0.0,0.0,,,,,,,,,,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0011W00001zD4KkQAK,"Wellmark, Inc.",True,CEMO_BASE,WITHOUT_CLAIMS,False,0,0,,0,1300000.0,1300000.0,,0.0,0.0,,0.0,0.0,,,,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000000vpCvwAAE,Zurich North America,True,CEMO_BASE,WITHOUT_CLAIMS,False,31,0,,20194,17949.0,17726.0,0.0015,0.0017,0.0017,0.0,0.0,0.0,,,,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000001G74U7AAJ,"eBay, Inc.",True,CEMO_BASE,WITHOUT_CLAIMS,False,0,0,,0,0.0,0.0,,,,,,,,,,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:00140000019NKBHAA4,"AT&T Services, Inc.",False,NAV_PLUS_CEMO,WITH_CLAIMS,True,74493,72998,72998.0,366241,323998.0,309724.0,0.2034,0.2299,0.2405,0.1993,0.2253,0.2357,0.1993,0.2253,0.2357,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0011W000023xT6xQAE,Alera Group,True,CEMO_BASE,WITH_CLAIMS,True,593,570,570.0,7359,6474.0,6410.0,0.0806,0.0916,0.0925,0.0775,0.088,0.0889,0.0775,0.088,0.0889,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0011W00002QSEqxQAH,Anoka County,True,CEMO_BASE,WITH_CLAIMS,True,1761,1731,1731.0,5787,5477.0,5238.0,0.3043,0.3215,0.3362,0.2991,0.316,0.3305,0.2991,0.316,0.3305,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0015d00003QbHhCAAV,Avergent,True,CEMO_BASE,WITH_CLAIMS,True,73,69,69.0,23726,20034.0,17765.0,0.0031,0.0036,0.0041,0.0029,0.0034,0.0039,0.0029,0.0034,0.0039,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000001a9dipAAA,Ball Corporation,True,CEMO_BASE,WITH_CLAIMS,True,1725,1690,1690.0,9832,8645.0,8417.0,0.1754,0.1995,0.2049,0.1719,0.1955,0.2008,0.1719,0.1955,0.2008,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0011W00001uNgBfQAK,BioMarin Pharmaceutical,True,CEMO_BASE,WITH_CLAIMS,True,602,598,598.0,3770,3344.0,3415.0,0.1597,0.18,0.1763,0.1586,0.1788,0.1751,0.1586,0.1788,0.1751,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000001a7XcZAAU,Brown Brothers Harriman & Co.,True,CEMO_BASE,WITH_CLAIMS,True,1296,1286,1286.0,6081,5557.0,5475.0,0.2131,0.2332,0.2367,0.2115,0.2314,0.2349,0.2115,0.2314,0.2349,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000000y4QK1AAM,Charter Communications,True,CEMO_BASE,WITH_CLAIMS,True,54844,54270,54270.0,201042,168886.0,162300.0,0.2728,0.3247,0.3379,0.2699,0.3213,0.3344,0.2699,0.3213,0.3344,0.20448621785288032,0.2204
